onset	duration	trial_type	value
10.54040	0.00000	et-record-on	n/a
10.55210	2.71010	green	mock
13.26220	2.30000	yellow	mock
15.56220	2.70010	green	mock
18.26230	2.30010	yellow	mock
20.56240	2.70000	green	mock
23.26240	2.30010	yellow	mock
25.56250	2.70000	green	mock
28.26250	2.30000	yellow	mock
30.56250	2.70020	light-green	mock
33.26270	2.30010	gold	mock
35.56280	13.00020	red	mock
48.54640	2.00010	lightred	mock
50.54650	5.00000	end-message	mock
55.54650	2.70020	in	block1
58.24670	2.30000	out	block1
60.54670	2.69990	in	block1
63.24660	2.30020	out	block1
65.54680	2.69990	in	block1
68.24670	2.30000	out	block1
70.54670	2.70020	in	block1
73.24690	2.30010	out	block1
75.54700	2.70000	in-last	block1
78.24700	2.29990	out-last	block1
80.54690	13.00030	hold	block1
93.54720	2.01680	hold-warning	block1
95.54650	10.00120	refractory	block1
105.54770	2.70000	in	block2
108.24770	2.29990	out	block2
110.54760	2.70020	in	block2
113.24780	2.30190	out	block2
115.54970	2.71470	in	block2
118.26440	2.30030	out	block2
120.56470	2.70000	in	block2
123.26470	2.30010	out	block2
125.56480	2.70010	in-last	block2
128.26490	2.30000	out-last	block2
130.56490	13.00030	hold	block2
143.54860	1.99980	hold-warning	block2
145.54840	10.00050	refractory	block2
155.54890	2.69990	in	block3
158.24880	2.30010	out	block3
160.54890	2.70010	in	block3
163.24900	2.30010	out	block3
165.54910	2.69990	in	block3
168.24900	2.30000	out	block3
170.54900	2.69890	in	block3
173.24790	2.30120	out	block3
175.54910	2.70010	in-last	block3
178.24920	2.30010	out-last	block3
180.54930	13.00020	hold	block3
193.54950	2.00010	hold-warning	block3
195.54960	10.00030	refractory	block3
205.54990	2.70010	in	block4
208.25000	2.30000	out	block4
210.55000	2.70000	in	block4
213.25000	2.30010	out	block4
215.55010	2.70010	in	block4
218.25020	2.31670	out	block4
220.56690	2.69990	in	block4
223.26680	2.30010	out	block4
225.56690	2.70010	in-last	block4
228.26700	2.29980	out-last	block4
230.56680	13.00060	hold	block4
243.55080	1.99980	hold-warning	block4
245.55060	10.00260	refractory	block4
255.55320	2.71450	in	block5
258.26770	2.29990	out	block5
260.56760	2.70010	in	block5
263.26770	2.30020	out	block5
265.56790	2.70000	in	block5
268.26790	2.30000	out	block5
270.56790	2.70010	in	block5
273.26800	2.30010	out	block5
275.56810	2.70010	in-last	block5
278.26820	2.30010	out-last	block5
280.56830	13.00020	hold	block5
293.55180	2.00010	hold-warning	block5
295.55190	10.00020	refractory	block5
331.05610	0.00000	et-record-off	n/a
